label,nodes,edges,density,mean_degree,max_degree,degree_var,diameter,char_path,efficiency,avg_clustering,transitivity,n_triangles,mean_betweenness,max_betweenness,betweenness_centralization,lambda_1,lambda_2,spectral_gap,spectral_radius,assortativity,sigma,omega,modularity_Q,n_communities,rich_club_k1,rich_club_k2,rich_club_k5
brain_0,69,370,0.1577152600170503,10.72463768115942,31,21.79374081075404,4,2.424978687127025,0.4938547882921258,0.3981389375088436,0.3813793103448276,553,0.02126833861383619,0.5615821390796537,0.016365957959668588,13.320545078400114,11.01704108034898,2.3035039980511343,13.320545078400114,-0.059000243154418944,2.0640036293410797,0.24030265259586503,0.47252008765522274,3,0.1577152600170503,0.16154521510096576,0.20205686630369027
brain_1,69,380,0.16197783461210571,11.014492753623188,34,25.811384162990972,5,2.3115942028985508,0.5086317135549863,0.35625754920411,0.35200170357751276,551,0.01957603287908285,0.40017874109536306,0.011528352443771645,13.424724551554224,11.336066337291747,2.0886582142624768,13.424724551554224,-0.048301508589053854,1.8519104204927506,0.33411809987896546,0.44711218836565103,4,0.16637401229148377,0.17529137529137528,0.20225988700564973
brain_2,69,399,0.170076726342711,11.565217391304348,36,24.071833648393195,4,2.261295822676897,0.5182225063938615,0.38130517510985945,0.37158145065398335,625,0.01882531078622234,0.4293652235226825,0.012435142220721385,13.582921268664153,11.946761797754524,1.6361594709096288,13.582921268664153,-0.06118519877105086,1.9068395387314947,0.3010163118181378,0.4623683268321178,3,0.170076726342711,0.170076726342711,0.20273224043715846
brain_3,69,393,0.16751918158567775,11.391304347826088,34,23.658475110270956,4,2.3043478260869565,0.5114379084967324,0.3905768237037587,0.373469387755102,610,0.019467878001297855,0.45947891262813034,0.013327814481667302,13.482377216252281,12.062662826070897,1.419714390181385,13.482377216252281,-0.05443985679280957,1.9500566243638124,0.27617359974429134,0.4590253093254084,2,0.16751918158567775,0.18041958041958042,0.2010928961748634
brain_4,69,378,0.16112531969309463,10.956521739130435,37,27.22999369880277,4,2.2681159420289854,0.5133560670645076,0.36056484115442256,0.3527535615564533,553,0.01892710361237292,0.43336578111004004,0.012553234744217066,13.416659698324516,11.286788077604673,2.129871620719843,13.416659698324516,-0.05272748872867269,1.923363376373148,0.346082297372436,0.44713543853755494,4,0.16112531969309463,0.17342657342657342,0.19562841530054645
brain_5,69,435,0.18542199488491048,12.608695652173912,39,26.441083805923128,4,2.1909633418584824,0.5331770389315176,0.4200790479966681,0.401039919490104,797,0.017775572266544516,0.44627867393679704,0.012979242324510292,14.63373263593746,12.886786687826957,1.7469459481105023,14.63373263593746,-0.07674593010068838,1.9205030107376433,0.256974016706931,0.44688598229620824,2,0.18542199488491048,0.1900790166812994,0.20734126984126985
brain_6,69,381,0.16240409207161124,11.043478260869565,32,23.780718336483936,4,2.277919863597613,0.5115089514066493,0.3770793073196145,0.3576500968366688,554,0.019073430799964375,0.3681140852971934,0.010572346426820997,13.27610909276795,11.540230080030934,1.7358790127370156,13.27610909276795,-0.016768494216526753,1.983373099387631,0.3153635229172599,0.45611080111049107,3,0.16240409207161124,0.16637401229148377,0.20631209818819404
brain_7,69,399,0.170076726342711,11.565217391304348,34,24.12980466288595,4,2.2783461210571185,0.5158780903665812,0.39750697558275966,0.375,631,0.019079792851598783,0.4090372931364177,0.011811706549447187,13.925239426114818,11.69289081792543,2.232348608189387,13.925239426114818,-0.01385341465675505,1.9729854469197798,0.2708157747580081,0.448976451152945,3,0.170076726342711,0.170076726342711,0.2104032729398013
brain_8,69,420,0.17902813299232737,12.173913043478262,42,28.20163831127914,4,2.2246376811594204,0.5282395566922434,0.4274236259031344,0.4018708083303918,759,0.018278174345662992,0.558440738681404,0.016361377058450293,14.490985306337636,12.527435691205772,1.963549615131864,14.490985306337636,-0.0675482622066995,2.0213112404762916,0.2328169396570724,0.44997448979591836,2,0.17902813299232737,0.18349429323968394,0.21099947117927023
brain_9,69,382,0.1628303495311168,11.072463768115941,32,25.89329972694812,6,2.3704177323103153,0.5033745382210841,0.36998230967250584,0.3771356253954862,596,0.02045399600463157,0.3957323336339278,0.011367078707818293,13.514593457587356,11.791818470790707,1.722774986796649,13.514593457587356,-0.018916235296304644,1.8623965300998666,0.2909863246424058,0.4641628518955073,3,0.1672519754170325,0.18501984126984128,0.21536600120992136
