candidate,target,null,d_inv,d_portrait
TOL_11,BRAIN_10,ER,0.41836127272936996,0.3329446311833122
TOL_11,BRAIN_10,ER,0.3300350155051284,0.41889009711385633
TOL_11,BRAIN_10,ER,0.34782036544904743,0.2841849796468603
TOL_11,BRAIN_10,ER,0.33125469406946767,0.43048942731449946
TOL_11,BRAIN_10,ER,0.44006343746508886,0.3941914026030128
TOL_11,BRAIN_10,ER,0.44656646743994166,0.35820248858580855
TOL_11,BRAIN_10,ER,0.43407592443730725,0.33805991172894506
TOL_11,BRAIN_10,ER,0.39694860553009415,0.2963097338767901
TOL_11,BRAIN_10,ER,0.3713905374205418,0.3475900988936791
TOL_11,BRAIN_10,ER,0.39954223088018836,0.2875222545513824
TOL_11,BRAIN_10,ER,0.49287072615019206,0.28941215684598975
TOL_11,BRAIN_10,ER,0.46377897800189266,0.30978994802525034
TOL_11,BRAIN_10,ER,0.4633523448448924,0.27923717564142037
TOL_11,BRAIN_10,ER,0.38595034582797394,0.3770299377264791
TOL_11,BRAIN_10,ER,0.44504621470179884,0.3684280239708574
TOL_11,BRAIN_10,ER,0.4045942999210449,0.32654073109659876
TOL_11,BRAIN_10,ER,0.40770294920539835,0.27166588631420496
TOL_11,BRAIN_10,ER,0.4583750662441777,0.33967883698974194
TOL_11,BRAIN_10,ER,0.40986629420349036,0.3156812667158587
TOL_11,BRAIN_10,ER,0.40462965069454004,0.30167102917445066
TOL_11,BRAIN_10,ER,0.45166774328779324,0.33915507498513536
TOL_11,BRAIN_10,ER,0.4197190786583946,0.37135370155310177
TOL_11,BRAIN_10,ER,0.39722475246063904,0.3038557970336341
TOL_11,BRAIN_10,ER,0.39913917322373943,0.3609945167122085
TOL_11,BRAIN_10,ER,0.354880619762836,0.322828932127315
TOL_11,BRAIN_10,ER,0.39756230671446563,0.20124715031348264
TOL_11,BRAIN_10,ER,0.44836298458175033,0.3021141737440133
TOL_11,BRAIN_10,ER,0.4156784697809356,0.3297216602246586
TOL_11,BRAIN_10,ER,0.4914181570225989,0.3642766544505809
TOL_11,BRAIN_10,ER,0.40228598083567174,0.2660838675808311
TOL_11,BRAIN_10,ER,0.46572053239416455,0.3378858267390128
TOL_11,BRAIN_10,ER,0.38698400234944663,0.3471844210665338
TOL_11,BRAIN_10,ER,0.4005371999106297,0.29074886278097417
TOL_11,BRAIN_10,ER,0.4086057176305885,0.2788227139859427
TOL_11,BRAIN_10,ER,0.40016461482414695,0.3515295925309103
TOL_11,BRAIN_10,ER,0.44711550258520005,0.28203243305001313
TOL_11,BRAIN_10,ER,0.4710824055973433,0.2830574440284152
TOL_11,BRAIN_10,ER,0.3155958801544763,0.28689951802793995
TOL_11,BRAIN_10,ER,0.37612699681293127,0.33196533906794407
TOL_11,BRAIN_10,ER,0.44260076069209914,0.36215909865740514
TOL_11,BRAIN_10,ER,0.5408462055011681,0.3336817474730166
TOL_11,BRAIN_10,ER,0.44267051910104926,0.3438546455841424
TOL_11,BRAIN_10,ER,0.3847230646016773,0.227177544756307
TOL_11,BRAIN_10,ER,0.44034189981556804,0.22924702156785629
TOL_11,BRAIN_10,ER,0.3175661355232498,0.293659732413509
TOL_11,BRAIN_10,ER,0.38654803159117085,0.323473822486678
TOL_11,BRAIN_10,ER,0.47468614060312714,0.3874278733444638
TOL_11,BRAIN_10,ER,0.4214760901567739,0.3000673301281342
TOL_11,BRAIN_10,ER,0.36177721517666067,0.3301977553217189
TOL_11,BRAIN_10,ER,0.4713089931097296,0.45892660710294475
TOL_11,BRAIN_10,ER,0.46032374182031655,0.2783557294213994
TOL_11,BRAIN_10,ER,0.3956832483677591,0.2955162183585668
TOL_11,BRAIN_10,ER,0.47412362592964286,0.4006903847262657
TOL_11,BRAIN_10,ER,0.35046864483371576,0.25784727477597996
TOL_11,BRAIN_10,ER,0.43117651689557296,0.35493005061802696
TOL_11,BRAIN_10,ER,0.4260758413271998,0.34312757892483847
TOL_11,BRAIN_10,ER,0.47860346879328325,0.30712380035803694
TOL_11,BRAIN_10,ER,0.5126961905672609,0.2787417652293446
TOL_11,BRAIN_10,ER,0.407012238245883,0.3614243454680731
TOL_11,BRAIN_10,ER,0.44986897073766896,0.3734471354014356
TOL_11,BRAIN_10,ER,0.4165239404832889,0.3128141771313
TOL_11,BRAIN_10,ER,0.37312129053503595,0.32487235372712664
TOL_11,BRAIN_10,ER,0.40832009563629973,0.32342545599943195
TOL_11,BRAIN_10,ER,0.43494302711770827,0.3081655021612796
TOL_11,BRAIN_10,ER,0.39471537388971273,0.25632861738369217
TOL_11,BRAIN_10,ER,0.34052275035242674,0.32629935795345
TOL_11,BRAIN_10,ER,0.4024334744536926,0.31811395244359436
TOL_11,BRAIN_10,ER,0.4992181781782845,0.32538252021877556
TOL_11,BRAIN_10,ER,0.45208602757491934,0.30706681753632836
TOL_11,BRAIN_10,ER,0.40295820713119423,0.4626702267308448
TOL_11,BRAIN_10,ER,0.5168110794968807,0.3164117208942654
TOL_11,BRAIN_10,ER,0.45582739700619,0.33228289076703776
TOL_11,BRAIN_10,ER,0.36288837535897095,0.3255642844948675
TOL_11,BRAIN_10,ER,0.49001549349258405,0.30655552118253626
TOL_11,BRAIN_10,ER,0.37040931836590185,0.32947456001050235
TOL_11,BRAIN_10,ER,0.32343127162546687,0.2975644020921797
TOL_11,BRAIN_10,ER,0.45787474655510074,0.3611504507842378
TOL_11,BRAIN_10,ER,0.40348893599645846,0.3551168064572429
TOL_11,BRAIN_10,ER,0.3534031825492896,0.32049749729821386
TOL_11,BRAIN_10,ER,0.5770616955159852,0.40695810395936377
TOL_11,BRAIN_10,ER,0.3872601844427808,0.3390235375854992
TOL_11,BRAIN_10,ER,0.38104729684754196,0.2973201642059732
TOL_11,BRAIN_10,ER,0.3254372113506739,0.3901291729838816
TOL_11,BRAIN_10,ER,0.3956967829195323,0.24216108815690945
TOL_11,BRAIN_10,ER,0.42257025885414484,0.31978930740672595
TOL_11,BRAIN_10,ER,0.3537951904834646,0.2903975195628674
TOL_11,BRAIN_10,ER,0.4286911656439614,0.30102776951661037
TOL_11,BRAIN_10,ER,0.3837696003894855,0.4393159367477327
TOL_11,BRAIN_10,ER,0.39105993073354145,0.28643964691278034
TOL_11,BRAIN_10,ER,0.4255597233751746,0.27177716227011833
TOL_11,BRAIN_10,ER,0.4414444417401449,0.3745555958583443
TOL_11,BRAIN_10,ER,0.44523243818142133,0.3692003240063736
TOL_11,BRAIN_10,ER,0.3624839531604738,0.3433213110958444
TOL_11,BRAIN_10,ER,0.48005698885706344,0.3988471455967626
TOL_11,BRAIN_10,ER,0.41502692734495833,0.2597501957051893
TOL_11,BRAIN_10,ER,0.36364603761878883,0.24052078930709903
TOL_11,BRAIN_10,ER,0.3368242163622835,0.3591718430685434
TOL_11,BRAIN_10,ER,0.34493692243865953,0.3609375982238209
TOL_11,BRAIN_10,ER,0.39217928237983224,0.26783173735834015
TOL_11,BRAIN_10,ER,0.5783210812385849,0.31334130586947495
TOL_11,BRAIN_10,ER,0.3648421316441123,0.3646771002209874
TOL_11,BRAIN_10,ER,0.4158481704638464,0.3214002491927539
TOL_11,BRAIN_10,ER,0.45698950856064274,0.3104652733776222
TOL_11,BRAIN_10,ER,0.34328724057346055,0.30965612100817475
TOL_11,BRAIN_10,ER,0.3969484751569533,0.2929939700284322
TOL_11,BRAIN_10,ER,0.3760743405560538,0.34352104916069537
TOL_11,BRAIN_10,ER,0.37122419607704216,0.2887256632479893
TOL_11,BRAIN_10,ER,0.36572077854120105,0.34388663621235305
TOL_11,BRAIN_10,ER,0.3740607500167356,0.3551291819777498
TOL_11,BRAIN_10,ER,0.3248942443334293,0.24083652535604233
TOL_11,BRAIN_10,ER,0.42800160705029566,0.4895777429076583
TOL_11,BRAIN_10,ER,0.42754721865312967,0.2860676895446668
TOL_11,BRAIN_10,ER,0.31870143350252916,0.2845499955237203
TOL_11,BRAIN_10,ER,0.45382291412316433,0.2893568298419589
TOL_11,BRAIN_10,ER,0.39456346026476086,0.42575967498099243
TOL_11,BRAIN_10,ER,0.5043523884979468,0.3349613839222234
TOL_11,BRAIN_10,ER,0.3968585955930688,0.3439810181505558
TOL_11,BRAIN_10,ER,0.33713007206433854,0.3218755032862942
TOL_11,BRAIN_10,ER,0.43721858663800806,0.2882059765507662
TOL_11,BRAIN_10,ER,0.33392320610483184,0.28938740366426374
TOL_11,BRAIN_10,ER,0.3737512779475384,0.3259841926694466
TOL_11,BRAIN_10,ER,0.3916327866143435,0.32910809655036233
TOL_11,BRAIN_10,ER,0.4154198802388485,0.33748403450254033
TOL_11,BRAIN_10,ER,0.37433416452182156,0.31410859743494934
TOL_11,BRAIN_10,ER,0.5284421634747213,0.3697474234076883
TOL_11,BRAIN_10,ER,0.3099453393829543,0.29605967355835944
TOL_11,BRAIN_10,ER,0.5159002336622519,0.3012910710953929
TOL_11,BRAIN_10,ER,0.3724379707082053,0.26989531372104064
TOL_11,BRAIN_10,ER,0.4308192786908789,0.3086640935386379
TOL_11,BRAIN_10,ER,0.42591150054651866,0.3372952921351224
TOL_11,BRAIN_10,ER,0.4263480154955339,0.39313940365774425
TOL_11,BRAIN_10,ER,0.3597292430149147,0.38358521870058243
TOL_11,BRAIN_10,ER,0.4218253577778895,0.28940723609860364
TOL_11,BRAIN_10,ER,0.39410892767368283,0.3877867456127918
TOL_11,BRAIN_10,ER,0.30105606182756284,0.3439213227718962
TOL_11,BRAIN_10,ER,0.4079227615805877,0.32412186105640417
TOL_11,BRAIN_10,ER,0.3365833392027654,0.33425572717309127
